"entity_id"	"query"	"entity_name"	"category"	"homepage"	"wikipedia_en"	"wikipedia_es"	"md5_homepage"	"md5_wikipedia_en"	"md5_wikipedia_es"
"RL2013D01E001"	"BMW"	"Bayerische Motoren Werke AG"	"automotive"	"http://www.bmw.com/"	"http://en.wikipedia.org/wiki/BMW"	"http://es.wikipedia.org/wiki/BMW"	"360fa8caf6d180e23595a5ecc374eaa8"	"90fea87ce7e9dbb7515c026a8e2d835e"	"1132d88c1d5057310bfda0734584277c"
"RL2013D01E002"	"Audi"	"AUDI Aktiengesellschaft"	"automotive"	"http://www.audi.com"	"http://en.wikipedia.org/wiki/Audi"	"http://es.wikipedia.org/wiki/Audi"	"cc6f45a2e882e90876ee7f49cd527561"	"f48ce7d2ef423d581fe93fdf3a64d2eb"	"a2d0514644e9458a60300c2aa7a223ac"
"RL2013D01E003"	"Volvo"	"AB Volvo"	"automotive"	"http://www.volvogroup.com"	"http://en.wikipedia.org/wiki/Volvo"	"http://es.wikipedia.org/wiki/AB_Volvo"	"976c2ed4798e8bb86a5d51ce48e6b337"	"4cbd6b95810310195fc20e206ae1a1a0"	"ffb0223cf2ba603cd28ee6db33a83a3c"
"RL2013D01E005"	"Toyota"	"Toyota Motor Corporation"	"automotive"	"http://www.toyota-global.com/"	"http://en.wikipedia.org/wiki/Toyota"	"http://es.wikipedia.org/wiki/Toyota"	"796db3f980401e5fd2c2d8ac1dd6d4e6"	"ade3976c361dd5c1ac622252568d7270"	"273fc2ebebff0515b1487f7088cbaff1"
"RL2013D01E008"	"Volkswagen"	"Volkswagen"	"automotive"	"http://www.volkswagen.com"	"http://en.wikipedia.org/wiki/Volkswagen"	"http://es.wikipedia.org/wiki/Volkswagen"	"d67208bb97aad42cd9117b448c846bbe"	"45e0b2054e1a9eba72d2515a9dfc48d4"	"ebc219420cccb6ee5a121dcfc7f0722d"
"RL2013D01E009"	"Honda"	"Honda Motor Company, Ltd."	"automotive"	"http://world.honda.com/"	"http://en.wikipedia.org/wiki/Honda"	"http://es.wikipedia.org/wiki/Honda"	"786bdb1cf7f60844dad0e9e863fd9716"	"8ade1cfb557f683768f6757fdc16ee4b"	"61e9ada2e801cd303831239c39790e51"
"RL2013D01E012"	"Nissan"	"Nissan Motor Company Ltd"	"automotive"	"http://www.nissan-global.com"	"http://en.wikipedia.org/wiki/Nissan_Motor_Company"	"http://es.wikipedia.org/wiki/Nissan"	"09daf0a63841f823a96ab409663b631d"	"98f9dc7ca35b4d718814d708cae8dc35"	"daea4344a8715ac2008b03830e664fed"
"RL2013D01E013"	"Fiat"	"Fiat S.p.A"	"automotive"	"http://www.fiatspa.com"	"http://en.wikipedia.org/wiki/Fiat"	"http://es.wikipedia.org/wiki/Fiat_S.p.A."	"dd4ccaa6fdda4f50a796a6ce9b984f60"	"feaede9322ce3b0da7d744345ac387c7"	"9a403d8046ab61e5470bb64c4e1e5c93"
"RL2013D01E014"	"Suzuki"	"Suzuki Motor Corporation"	"automotive"	"http://www.globalsuzuki.com/"	"http://en.wikipedia.org/wiki/Suzuki"	"http://es.wikipedia.org/wiki/Suzuki"	"2b38230e2c5d6d1331e0a7fbc03a5ef8"	"5b103b2e12f0f47b30ab7ea4249eca85"	"58ae78b7b470a1beb82d343661a107c0"
"RL2013D01E015"	"Mazda"	"Mazda Motor Corporation"	"automotive"	"http://www.mazda.com/"	"http://en.wikipedia.org/wiki/Mazda"	"http://es.wikipedia.org/wiki/Mazda"	"253219da43bf37b2fff90aa4fcc0b7c0"	"e511434785c08eabf6f1bf6d4bd15739"	"55bf550a3670d13869327488b871b328"
"RL2013D01E016"	"Chrysler"	"Chrysler Group LLC"	"automotive"	"http://www.chryslergroupllc.com"	"http://en.wikipedia.org/wiki/Chrysler"	"http://es.wikipedia.org/wiki/Chrysler_Group_LLC"	"23a18bf197923642e26e2c0a5017e074"	"d806eb22ab319fb53198c67c3a72a8e5"	"93c52db89a52dbdc3ff33a28d9403aad"
"RL2013D01E019"	"Subaru"	"Subaru"	"automotive"	"http://www.subaru-global.com"	"http://en.wikipedia.org/wiki/Subaru"	"http://es.wikipedia.org/wiki/Subaru"	"938cc27beaf53c0cc103b30f2996fb63"	"3c7ec5327ec84eeb6bdb77909b9f54a2"	"98297d485e9dd46d226ea89b40505b85"
"RL2013D01E022"	"Ferrari"	"Ferrari S.p.A"	"automotive"	"http://www.ferrari.com"	"http://en.wikipedia.org/wiki/Ferrari"	"http://es.wikipedia.org/wiki/Ferrari"	"c5ab68cb35677657acc89b0a1a0d1f1e"	"d9c96b83ba5d3a4b35d0dab22c0db007"	"14e0dd3d5d527b950d6dc250cf718ef1"
"RL2013D01E025"	"Bentley"	"Bentley Motors Limited"	"automotive"	"http://www.bentleymotors.com/"	"http://en.wikipedia.org/wiki/Bentley"	"http://es.wikipedia.org/wiki/Bentley_%28autom%C3%B3viles%29"	"4726cc4f61506de7af01c7fd3f1ee2ac"	"12a5b3e6bf77b17e5c824790efddbeb2"	"19590a24e77d669674a175aded9e75f3"
"RL2013D01E033"	"Porsche"	"Porsche Automobil Holding SE"	"automotive"	"http://www.porsche.com/"	"http://en.wikipedia.org/wiki/Porsche"	"es.wikipedia.org/wiki/Porsche"	"f37779e558397031e52dd401698a3270"	"c12cdbdaf55d57078bd6b8879f869f52"	"5db2d986141bec9177a3453acdd4ff62"
"RL2013D01E035"	"Yamaha"	"Yamaha Motor Company"	"automotive"	"http://www.yamaha-motor.com/"	"http://en.wikipedia.org/wiki/Yamaha_Motor_Company"	"http://es.wikipedia.org/wiki/Yamaha_Motor_Company"	"4b0ef7b014f65ee8bf571e9094a6cfaa"	"0b65edd03b931891c110b6ce8543abfc"	"749aacd76013ecb05ca05037991c067b"
"RL2013D01E040"	"Kia"	"Kia Motors"	"automotive"	"http://www.kia.com/international/"	"http://en.wikipedia.org/wiki/Kia_Motors"	"http://es.wikipedia.org/wiki/Kia_Motors"	"f1cd6de9ee7f883f8d9da79d38ffc20c"	"6e779b5b540eacf8eb6e8d2e5797b053"	"048805fb202f7bcf3856d4740fde46cd"
"RL2013D01E041"	"Ford"	"Ford Motor Company "	"automotive"	"http://www.ford.com"	"http://en.wikipedia.org/wiki/Ford_Motor_Company"	"http://es.wikipedia.org/wiki/Ford_Motor_Company"	"65186bd446d8d3c223c3ef8b21304763"	"14072a5757cf890a019bc095cf943a5e"	"31b8349082606c8b627765ac1c5f5d49"
"RL2013D01E043"	"Jaguar"	"Jaguar Cars Ltd."	"automotive"	"http://www.jaguar.com/"	"http://en.wikipedia.org/wiki/Jaguar_Cars"	"http://es.wikipedia.org/wiki/Jaguar_Cars"	"e51f54212773542d2dd55d529f545088"	"c1d3797d922e62fd59b9c167b07dcaf2"	"369dad28368f2fd54a4a0731678a5d84"
"RL2013D01E044"	"Lexus"	"Lexus "	"automotive"	"http://www.lexus.com/"	"http://en.wikipedia.org/wiki/Lexus"	"http://es.wikipedia.org/wiki/Lexus"	"8f0c97a0207a19a2ce4e7c240e7c65fe"	"11a608cc4fdb3b5e3afe6528223522b3"	"0601a7a5372c3b8691a48b34a682eb21"
"RL2013D02E051"	"""RBS bank"""	"The Royal Bank of Scotland plc"	"banking"	"http://www.rbs.co.uk/"	"http://en.wikipedia.org/wiki/The_Royal_Bank_of_Scotland"	"http://es.wikipedia.org/wiki/Royal_Bank_of_Scotland"	"bb4b4344ab0a12ec9bd41f7ce4b3ee48"	"97dd91065c48ead37e391307b2a4a3f9"	"12a883c0a4bd495c007f11ab201de355"
"RL2013D02E054"	"Barclays"	"Barclays PLC"	"banking"	"http://www.group.barclays.com"	"http://en.wikipedia.org/wiki/Barclays"	"http://es.wikipedia.org/wiki/Barclays"	"116947533d3fbbd059bf5e00d3546aeb"	"a12b1e6b29d16986ce7bf7f05e151d44"	"77fe0909d49dfd960ef607663da2b712"
"RL2013D02E055"	"HSBC"	"HSBC Holdings plc"	"banking"	"http://www.hsbc.com"	"http://en.wikipedia.org/wiki/HSBC"	"http://es.wikipedia.org/wiki/HSBC"	"10f7f5bc7b3b93d69ae4e11478cd4926"	"bdbf1f1fd25808901a1a9feef20138d8"	"d7ab8205f5ae5f52f58edc2253f58c08"
"RL2013D02E056"	"""Bank of America"""	"Bank of America Corporation"	"banking"	"https://www.bankofamerica.com/"	"http://en.wikipedia.org/wiki/Bank_of_America"	"http://es.wikipedia.org/wiki/Bank_of_America"	"5ed5570e6f12eb938816fbac56888229"	"967905c90baa4eba4ee0c56a0056b163"	"b1e1bb588c76d88694fd929012e9dc41"
"RL2013D02E057"	"""Wells Fargo"""	"Wells Fargo & Company"	"banking"	"https://www.wellsfargo.com/"	"http://en.wikipedia.org/wiki/Wells_Fargo"	"http://es.wikipedia.org/wiki/Wells_Fargo"	"e906ee6d00dde4d542e7ef9e74ec7fde"	"f679cc59ac7a6d9a25ddb344474e6298"	"b44f9ca1e02110c7d592b221207c13c6"
"RL2013D02E060"	"PNC"	"PNC Financial Services Group, Inc."	"banking"	"https://www.pnc.com"	"http://en.wikipedia.org/wiki/PNC_Financial_Services"	"0"	"12b3c7d3e25f23174eb602eceb089cc3"	"9005949dd8c9792abe06c94d3bf7238e"	"0"
"RL2013D02E063"	"""Capital One"""	"Capital One Financial Corporation"	"banking"	"https://www.capitalone.com/"	"http://en.wikipedia.org/wiki/Capital_One"	"0"	"6fc2e74fe2c65114987e68c4223912f1"	"ffbc45abd702764b3d7fa9b7a209112e"	"0"
"RL2013D02E067"	"""Banco Santander"""	"Banco Santander, S.A."	"banking"	"http://www.santander.com"	"http://en.wikipedia.org/wiki/Grupo_Santander"	"http://es.wikipedia.org/wiki/Grupo_Santander"	"745082655f3da17b9f3b9bc23844e94a"	"b7246a90899addb6d1c9d03acffc6ed0"	"e8c0657eb40eb153d1a0ac18537fee3a"
"RL2013D02E068"	"Bankia"	"Bankia S.A."	"banking"	"http://www.bankia.es/"	"http://en.wikipedia.org/wiki/Bankia"	"http://es.wikipedia.org/wiki/Bankia"	"8d500f75b108b5857b908357878c834b"	"d2db5f234713c35e538bc1d4590ed4cd"	"1e4ae934305f56ba9487037c71d00768"
"RL2013D02E070"	"BBVA"	"Banco Bilbao Vizcaya Argentaria, S.A."	"banking"	"http://www.bbva.com"	"http://en.wikipedia.org/wiki/Banco_Bilbao_Vizcaya_Argentaria"	"http://es.wikipedia.org/wiki/Banco_Bilbao_Vizcaya_Argentaria"	"fc9c8561966f1e0055a649ce1b21738e"	"f7d4bfc8c89209cf859103b5a8e6d747"	"18c5a02cfe225615d8ac324489f50324"
"RL2013D02E076"	"""Goldman Sachs"""	"The Goldman Sachs Group, Inc"	"banking"	"http://www.goldmansachs.com/"	"http://en.wikipedia.org/wiki/Goldman_Sachs"	"http://es.wikipedia.org/wiki/Goldman_Sachs"	"828d51e71d626db271635a858c7fc3c0"	"075fa0886413a9c61e7d397ba3b78ff6"	"0e5ec8e666e97662191b62db776e5399"
"RL2013D03E086"	"""Harvard University"""	"Harvard University"	"university"	"http://www.harvard.edu/"	"http://en.wikipedia.org/wiki/Harvard_University"	"http://es.wikipedia.org/wiki/Universidad_de_Harvard"	"697cd3465a8652759f219bdf952a1f51"	"2cf119c5834743a8827d70a9080a998f"	"383e0b5d94a9381ac6b9fd49b7d2b3a5"
"RL2013D03E087"	"""Stanford University"""	"Stanford University"	"university"	"http://www.stanford.edu/"	"http://en.wikipedia.org/wiki/Stanford_University"	"http://es.wikipedia.org/wiki/Universidad_Stanford"	"bf109fe94c008f816a4ee5ed4979b5c6"	"95121f68423e82c4de02a608054b3d1d"	"de8250891d381088ca2d36afee06e0b3"
"RL2013D03E088"	"""Berkeley University"""	"The University of California, Berkeley "	"university"	"http://www.berkeley.edu"	"http://en.wikipedia.org/wiki/University_of_California,_Berkeley"	"http://es.wikipedia.org/wiki/Universidad_de_California_en_Berkeley"	"008c5deba8a9da5dcb423d29ea9c94b1"	"04d6944e1e5391e2a267db124b5d35b2"	"80d255487543b913bceadc8411bf5bd7"
"RL2013D03E089"	"MIT"	"Massachusetts Institute of Technology"	"university"	"http://www.mit.edu/"	"http://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology"	"http://es.wikipedia.org/wiki/Instituto_Tecnol%C3%B3gico_de_Massachusetts"	"b510f87a2dd36cc5749c72670a9ef7a5"	"13d08af7f01c75bf90ac1bcedecd4c32"	"9c55410a044f474662702599da6e9351"
