"entity_id"	"tweet_id"	"polarity"
"RL2013D01E001"	"204639473366073344"	"NEUTRAL"
"RL2013D01E001"	"207430942028079104"	"POSITIVE"
"RL2013D01E001"	"208204757779759105"	"POSITIVE"
"RL2013D01E001"	"208283774251831296"	"NEUTRAL"
"RL2013D01E001"	"208318509384609792"	"NEUTRAL"
"RL2013D01E001"	"208342777627549696"	"NEUTRAL"
"RL2013D01E001"	"208347487822557184"	"POSITIVE"
"RL2013D01E001"	"208416559604039680"	"POSITIVE"
"RL2013D01E001"	"208431663317925888"	"POSITIVE"
"RL2013D01E001"	"208436344140214273"	"POSITIVE"
"RL2013D01E001"	"208457873523621888"	"POSITIVE"
"RL2013D01E001"	"208468799689732096"	"NEUTRAL"
"RL2013D01E001"	"208480107529117696"	"POSITIVE"
"RL2013D01E001"	"208495907476471809"	"POSITIVE"
"RL2013D01E001"	"208499745235279872"	"POSITIVE"
"RL2013D01E001"	"208502781902983168"	"POSITIVE"
"RL2013D01E001"	"208503142650871808"	"POSITIVE"
"RL2013D01E001"	"208504019252031489"	"POSITIVE"
"RL2013D01E001"	"208508767187382272"	"POSITIVE"
"RL2013D01E001"	"208511350866051072"	"POSITIVE"
"RL2013D01E001"	"208515494871973888"	"NEUTRAL"
"RL2013D01E001"	"208518871672557568"	"POSITIVE"
"RL2013D01E001"	"208525930275160065"	"NEGATIVE"
"RL2013D01E001"	"208531567419723776"	"POSITIVE"
"RL2013D01E001"	"208538328633585665"	"NEUTRAL"
"RL2013D01E001"	"208542233559957505"	"POSITIVE"
"RL2013D01E001"	"208542824948441088"	"NEGATIVE"
"RL2013D01E001"	"208544804634771457"	"POSITIVE"
"RL2013D01E001"	"208558549402533889"	"NEUTRAL"
"RL2013D01E001"	"208558852466147330"	"POSITIVE"
"RL2013D01E001"	"208559006564884482"	"NEUTRAL"
"RL2013D01E001"	"208564568195219457"	"POSITIVE"
"RL2013D01E001"	"208572382212927488"	"NEUTRAL"
"RL2013D01E001"	"208575515349614592"	"POSITIVE"
"RL2013D01E001"	"208575952966516737"	"NEUTRAL"
"RL2013D01E001"	"208581139907100673"	"POSITIVE"
"RL2013D01E001"	"208582549214216192"	"POSITIVE"
"RL2013D01E001"	"208584965124931584"	"POSITIVE"
"RL2013D01E001"	"208586282127990785"	"NEGATIVE"
"RL2013D01E001"	"208586726740983808"	"POSITIVE"
