"entity_id"	"tweet_id"	"filtering"
"RL2013D01E001"	"187281022927384577"	"UNRELATED"
"RL2013D01E001"	"202580416773898242"	"UNRELATED"
"RL2013D01E001"	"204639473366073344"	"RELATED"
"RL2013D01E001"	"205888692580126720"	"UNRELATED"
"RL2013D01E001"	"207430942028079104"	"RELATED"
"RL2013D01E001"	"208204757779759105"	"RELATED"
"RL2013D01E001"	"208260970991206400"	"UNRELATED"
"RL2013D01E001"	"208283774251831296"	"RELATED"
"RL2013D01E001"	"208318509384609792"	"RELATED"
"RL2013D01E001"	"208342777627549696"	"RELATED"
"RL2013D01E001"	"208347487822557184"	"RELATED"
"RL2013D01E001"	"208367886589366273"	"UNRELATED"
"RL2013D01E001"	"208416559604039680"	"RELATED"
"RL2013D01E001"	"208431663317925888"	"RELATED"
"RL2013D01E001"	"208436344140214273"	"RELATED"
"RL2013D01E001"	"208450957112115200"	"UNRELATED"
"RL2013D01E001"	"208457873523621888"	"RELATED"
"RL2013D01E001"	"208468799689732096"	"RELATED"
"RL2013D01E001"	"208480107529117696"	"RELATED"
"RL2013D01E001"	"208495907476471809"	"RELATED"
"RL2013D01E001"	"208499745235279872"	"RELATED"
"RL2013D01E001"	"208502781902983168"	"RELATED"
"RL2013D01E001"	"208503142650871808"	"RELATED"
"RL2013D01E001"	"208504019252031489"	"RELATED"
"RL2013D01E001"	"208508767187382272"	"RELATED"
"RL2013D01E001"	"208511350866051072"	"RELATED"
"RL2013D01E001"	"208515494871973888"	"RELATED"
"RL2013D01E001"	"208518871672557568"	"RELATED"
"RL2013D01E001"	"208525930275160065"	"RELATED"
"RL2013D01E001"	"208531567419723776"	"RELATED"
"RL2013D01E001"	"208538328633585665"	"RELATED"
"RL2013D01E001"	"208542233559957505"	"RELATED"
"RL2013D01E001"	"208542824948441088"	"RELATED"
"RL2013D01E001"	"208544804634771457"	"RELATED"
"RL2013D01E001"	"208556427084697600"	"UNRELATED"
"RL2013D01E001"	"208558549402533889"	"RELATED"
"RL2013D01E001"	"208558852466147330"	"RELATED"
"RL2013D01E001"	"208559006564884482"	"RELATED"
"RL2013D01E001"	"208564568195219457"	"RELATED"
"RL2013D01E001"	"208569290981515265"	"UNRELATED"
"RL2013D01E001"	"208572382212927488"	"RELATED"
"RL2013D01E001"	"208575515349614592"	"RELATED"
"RL2013D01E001"	"208575952966516737"	"RELATED"
"RL2013D01E001"	"208581139907100673"	"RELATED"
"RL2013D01E001"	"208582549214216192"	"RELATED"
"RL2013D01E001"	"208584965124931584"	"RELATED"
"RL2013D01E001"	"208586282127990785"	"RELATED"
"RL2013D01E001"	"208586726740983808"	"RELATED"
"RL2013D01E001"	"208589938734796800"	"RELATED"
"RL2013D01E001"	"208593324381192192"	"UNRELATED"
"RL2013D01E001"	"208593542480789505"	"RELATED"
"RL2013D01E001"	"208597074080563200"	"RELATED"
"RL2013D01E001"	"208599968154517504"	"RELATED"
"RL2013D01E001"	"208600920253145088"	"RELATED"
"RL2013D01E001"	"208602136609701889"	"RELATED"
"RL2013D01E001"	"208602479640846336"	"RELATED"
"RL2013D01E001"	"208603076100235264"	"RELATED"
"RL2013D01E001"	"208604305031315456"	"RELATED"
"RL2013D01E001"	"208604422492786688"	"RELATED"
"RL2013D01E001"	"208604611240669184"	"RELATED"
"RL2013D01E001"	"208604820939079680"	"RELATED"
"RL2013D01E001"	"208610701353291776"	"RELATED"
"RL2013D01E001"	"208614065193496576"	"RELATED"
"RL2013D01E001"	"208615000531673089"	"RELATED"
"RL2013D01E001"	"208619945599311872"	"RELATED"
"RL2013D01E001"	"208623603653156865"	"RELATED"
"RL2013D01E001"	"208629177270800384"	"RELATED"
"RL2013D01E001"	"208629252764073984"	"RELATED"
"RL2013D01E001"	"208642334815043586"	"RELATED"
"RL2013D01E001"	"208650832466550785"	"RELATED"
"RL2013D01E001"	"208651583259541504"	"RELATED"
"RL2013D01E001"	"208657077512581120"	"RELATED"
"RL2013D01E001"	"208661821534638080"	"RELATED"
"RL2013D01E001"	"208674710647603200"	"RELATED"
"RL2013D01E001"	"208674903573012480"	"RELATED"
"RL2013D01E001"	"208676669387575298"	"RELATED"
"RL2013D01E001"	"208680612012376064"	"RELATED"
"RL2013D01E001"	"208681773863936000"	"RELATED"
"RL2013D01E001"	"208690569306841088"	"UNRELATED"
"RL2013D01E001"	"208693228478795777"	"RELATED"
"RL2013D01E001"	"208693329146281985"	"RELATED"
"RL2013D01E001"	"208703619816632320"	"RELATED"
"RL2013D01E001"	"208704246399504384"	"UNRELATED"
"RL2013D01E001"	"208708286327959552"	"RELATED"
"RL2013D01E001"	"208710169281036288"	"RELATED"
"RL2013D01E001"	"208715219579572224"	"RELATED"
"RL2013D01E001"	"208731115643604992"	"RELATED"
"RL2013D01E001"	"208736517907161088"	"RELATED"
"RL2013D01E001"	"208738476659712001"	"RELATED"
"RL2013D01E001"	"208739852391432192"	"RELATED"
"RL2013D01E001"	"208740431196995586"	"UNRELATED"
"RL2013D01E001"	"208742075338989568"	"RELATED"
"RL2013D01E001"	"208742427689881600"	"RELATED"
"RL2013D01E001"	"208743375594209280"	"RELATED"
"RL2013D01E001"	"208745061696012289"	"UNRELATED"
"RL2013D01E001"	"208745577608003585"	"RELATED"
"RL2013D01E001"	"208750363891867649"	"RELATED"
"RL2013D01E001"	"208780736512278528"	"RELATED"
"RL2013D01E001"	"208782495846629376"	"RELATED"
"RL2013D01E001"	"208782726558527488"	"RELATED"
"RL2013D01E001"	"208785796793241601"	"RELATED"
"RL2013D01E001"	"208804763410763776"	"RELATED"
"RL2013D01E001"	"208810220208660480"	"RELATED"
"RL2013D01E001"	"208810522181771264"	"RELATED"
"RL2013D01E001"	"208838009183928320"	"RELATED"
"RL2013D01E001"	"208839756510007296"	"RELATED"
"RL2013D01E001"	"208842562482610179"	"RELATED"
"RL2013D01E001"	"208844584137134080"	"RELATED"
"RL2013D01E001"	"208845116813737984"	"RELATED"
"RL2013D01E001"	"208853020665061376"	"RELATED"
"RL2013D01E001"	"208853887103406080"	"RELATED"
"RL2013D01E001"	"208855053119926272"	"RELATED"
"RL2013D01E001"	"208856298849181697"	"RELATED"
"RL2013D01E001"	"208857427121143810"	"RELATED"
"RL2013D01E001"	"208860182762094592"	"RELATED"
"RL2013D01E001"	"208862363808575488"	"RELATED"
"RL2013D01E001"	"208866725867945985"	"RELATED"
"RL2013D01E001"	"208873630506024960"	"RELATED"
"RL2013D01E001"	"208875131244781568"	"RELATED"
"RL2013D01E001"	"208876444078714880"	"RELATED"
"RL2013D01E001"	"208890490802806785"	"RELATED"
"RL2013D01E001"	"208908245119676416"	"RELATED"
"RL2013D01E001"	"208909595853332480"	"RELATED"
"RL2013D01E001"	"208910577307881473"	"RELATED"
"RL2013D01E001"	"208912989062053888"	"RELATED"
"RL2013D01E001"	"208913475597123584"	"RELATED"
"RL2013D01E001"	"208918368529563649"	"RELATED"
"RL2013D01E001"	"208920333258997762"	"RELATED"
"RL2013D01E001"	"208921940105248768"	"RELATED"
"RL2013D01E001"	"208923571274256385"	"RELATED"
"RL2013D01E001"	"208925228007571456"	"RELATED"
